Descripción,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Transformado," -44,588.00"," -44,858.00"," -48,601.00"," -52,474.00"," -51,805.00"," -47,604.00"," -48,301.00"," -48,212.00"," -31,484.00"
Carboneras, -125.00, -97.00, -107.00, -115.00, -141.00, -171.00, -134.00, -65.00, -25.00
Refinerías, -300.00, -39.00,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Centrales Eléctricas Sector Público," -38,773.00"," -39,212.00"," -42,701.00"," -46,583.00"," -45,971.00"," -40,774.00"," -40,582.00"," -41,318.00"," -29,583.00"
Centrales Hidroeléctricas," -1,089.00", 244.00, 897.00," -1,171.00"," -1,148.00"," -1,359.00", -785.00," -1,466.00"," -1,413.00"
Centrales Termoeléctricas," -4,905.00"," -5,206.00"," -4,251.00"," -6,477.00"," -5,955.00", -558.00, -987.00, -244.00, -818.00
Centrales Geotérmicas," -32,779.00"," -34,249.00"," -39,346.00"," -38,935.00"," -38,868.00"," -38,857.00"," -38,809.00"," -39,608.00"," -27,351.00"
Centrales Eólicas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Centrales Solares,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Centrales Eléctricas Sector Privado," -5,389.00"," -5,511.00"," -5,794.00"," -5,776.00"," -5,693.00"," -6,660.00"," -7,585.00"," -6,830.00"," -1,877.00"
Centrales Hidroeléctricas, -881.00, -827.00, -862.00, -860.00, -846.00," -1,144.00"," -1,864.00"," -1,156.00"," -1,186.00"
Centrales Geotermicas (Miravalles III)," -3,986.00"," -4,191.00"," -4,259.00"," -4,259.00"," -4,249.00"," -4,845.00"," -5,022.00"," -5,022.00",  -   
Centrales Biomasa, -523.00, -493.00, -673.00, -656.00, -598.00, -671.00, -699.00, -652.00, -691.00
Centrales Eólicas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Destilerías, 597.00, 632.00, 742.00, 742.00, 705.00, 705.00, 630.00, 630.00, 608.00
