Descripción,2010,2011,2012,2013,2014,2015,2016,2017,2018
Consumo final total," 152,180.00"," 150,782.00"," 154,301.00"," 156,069.00"," 157,966.00","164,134.00","173,415.00","176,835.00","176,935.00"
Consumo final (no energ.)," 3,065.00"," 1,802.00"," 2,480.00"," 2,427.00"," 2,607.00","3,337.00","4,440.00","5,541.00","5,592.00"
Consumo final (energético)," 149,115.00"," 148,979.00"," 151,821.00"," 153,642.00"," 155,359.00","160,797.00","168,975.00","171,294.00","171,342.00"
Residencial," 23,382.00"," 22,139.00"," 21,586.00"," 21,366.00"," 20,603.00","20,791.00","20,620.00","20,652.00","19,481.00"
1. Urbano," 10,514.00"," 11,513.00"," 11,950.00"," 12,090.00"," 12,606.00","13,197.00","13,459.00","13,687.00","13,521.00"
1.a Cocción," 2,076.00"," 2,078.00"," 2,154.00"," 2,264.00"," 2,463.00","2,588.00","2,916.00","2,943.00","3,138.00"
1.b Enfriamiento," 2,076.00"," 2,078.00"," 2,154.00"," 2,264.00"," 2,463.00","2,588.00","2,916.00","2,943.00","3,138.00"
1.c Iluminación," 2,076.00"," 2,078.00"," 2,154.00"," 2,264.00"," 2,463.00","2,588.00","2,916.00","2,943.00","3,138.00"
1.d Producción de calor," 2,076.00"," 2,078.00"," 2,154.00"," 2,264.00"," 2,463.00","2,588.00","2,916.00","2,943.00","3,138.00"
1.e Generación de fuerza," 2,076.00"," 2,078.00"," 2,154.00"," 2,264.00"," 2,463.00","2,588.00","2,916.00","2,943.00","3,138.00"
2. Rural," 12,868.00"," 10,626.00"," 9,636.00"," 9,276.00"," 7,996.00","7,594.00","7,161.00","6,964.00","5,959.00"
2.a Cocción,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.b Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.d Producción de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
Servicios," 6,146.00"," 6,087.00"," 6,206.00"," 6,246.00","6,417.00","6,671.00","7,042.00","7,175.00","7,303.00"
Comercial," 3,513.00"," 3,479.00"," 3,636.00"," 3,870.00","3,980.00","4,114.00","4,306.00","4,322.00","4,464.00"
Público," 3,869.00"," 3,951.00"," 4,230.00"," 4,296.00","4,454.00","4,575.00","4,687.00","4,690.00","4,803.00"
Transporte," 70,319.00"," 72,109.00"," 74,111.00"," 74,637.00","76,186.00","81,526.00","87,538.00","89,061.00","91,231.00"
Terrestre," 63,360.00"," 64,876.00"," 66,765.00"," 67,772.00","69,263.00","73,986.00","79,120.00","80,669.00","81,953.00"
1. Privado," 29,474.00"," 31,122.00"," 32,601.00"," 33,280.00","34,096.00","36,899.00","39,762.00","40,694.00","41,241.00"
1.a Automóviles," 20,541.00"," 19,422.00"," 19,899.00"," 19,828.00","20,253.00","21,883.00","23,502.00","24,012.00","24,251.00"
1.b Jeep," 4,599.00"," 7,702.00"," 8,615.00"," 9,363.00","9,627.00","10,423.00","11,268.00","11,556.00","11,778.00"
1.c Microbus familiar," 1,342.00"," 1,226.00"," 1,221.00"," 1,202.00","1,225.00","1,294.00","1,358.00","1,390.00","1,433.00"
1.d Motos," 2,992.00"," 2,773.00"," 2,866.00"," 2,886.00","2,991.00","3,299.00","3,634.00","3,735.00","3,778.00"
2. Público," 7,415.00"," 6,768.00"," 6,918.00"," 7,051.00","7,319.00","7,630.00","8,015.00","8,017.00","8,124.00"
2.a Microbus," 1,385.00"," 1,913.00"," 2,036.00"," 2,134.00","2,158.00","2,270.00","2,415.00","2,453.00","2,513.00"
2.b Autobus," 4,157.00"," 3,416.00"," 3,494.00"," 3,607.00","3,824.00","3,934.00","4,076.00","3,983.00","3,968.00"
2.c Taxis," 1,873.00"," 1,438.00"," 1,388.00"," 1,310.00","1,336.00","1,426.00","1,524.00","1,580.00","1,643.00"
