Año,Carbón Mineral,Coque,Leña,Bagazo,Otros Res. Veg.,Carbón Vegetal,Casc. de Café,Biogas,Electricidad,G.L.P,Gasolina Regular,Gasolina Súper,Kerosene,Jet Fuel,Av-Gas,Diesel,Gasoleo,Fuel Oil,Total
2010,29.89,"2,675.36","13,998.14","9,836.32","4,395.70",41.8,375.26,-,"30,832.33","5,404.43","19,138.93","12,426.14",128.74,"7,138.21",58.09,"37,366.90",230.96,"5,037.69","149,114.89"
2011,229.20,"3,717.92","12,839.58","7,729.44","4,448.78",32.34,407.07,2.99,"31,223.25","5,542.26","19,073.05","13,200.62",164.18,"7,436.25",55.96,"37,846.49",253.23,"4,776.77","148,979.37"
2012,91.97,"3,382.79","12,161.88","8,088.95","4,385.46",35.59,461.19,3.03,"32,468.42","5,708.17","19,309.81","14,356.44",282.75,"7,369.51",54.38,"38,341.17",280.72,"5,038.86","151,821.08"
2013,204.32,"3,359.27","12,059.79","9,864.93","4,161.97",38.29,461.19,3.03,"32,767.30","6,032.98","19,657.83","14,599.83",257.25,"6,869.56",52.24,"38,437.05",285.36,"4,530.13","153,642.31"
2014,248.10,"3,288.28","11,066.46","10,318.32","4,360.37",47.01,371.96,3.03,"31,149.97","6,479.78","19,525.17","15,559.74",261.09,"6,937.01",48.56,"39,234.72",275.64,"4,184.00","155,359.20"
2015,14.00,"3,211.70","10,825.70","10,072.36","3,789.58",56.85,371.37,3.03,"33,942.28","6,817.76","20,132.66","17,866.27",303.5,"7,575.90",48.37,"41,315.37",250.41,"4,199.91","160,797.02"
2016,13.51,"3,493.96","10,170.89","10,072.36","3,742.20",44.58,437.15,3.03,"35,225.10","7,464.69","20,419.83","20,610.48",287.68,"8,462.44",49.15,"43,900.44",290.26,"4,287.28","168,975.04"
2017,214.02,"3,786.46","10,211.16","9,359.19","3,329.99",46.34,400.44,3.03,"35,642.33","7,934.88","20,565.07","21,401.84",275.21,"8,446.03",53.16,"44,661.06",372.48,"4,273.74","170,976.41"
2018,13.87,"3,534.58","8,603.49","9,134.57","3,224.83",42.19,347.55,3.03,"35,958.98","8,215.20","20,563.59","21,740.81",245.85,"9,379.58",41.04,"44,766.79",393.71,"4,107.84","170,317.49"
2019,10.19,"1,728.44","8,582.54","9,060.66","3,258.67",38.18,372.59,3.03,"36,573.21","8,736.27","21,566.84","22,426.14",204.06,"9,973.41",41.83,"44,303.51",391.21,"4,145.23","171,416.03"
Total,"1,069.07","32,178.76","110,519.63","93,537.10","39,097.55",423.17,"4,005.77",27.23,"335,783.17","68,336.42","199,952.78","174,188.31","2,410.31","79,587.90",502.78,"410,173.50","3,023.98","44,581.45","1,601,398.84"
