Report generated on: 02-24-2022 17:33:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-2-WORL-TBPD.A","    Consumption (Mb/d)","64.6","78.1","116","164.1","228.2","245.1","228","251.3","257.4","261.3","235.4","258.2","248","252.5","267.5","289.2","291.6","324.4","312.4","304.5","299.65968152054796","282.85365632786886","335.84816863013697","386.82224075342464","484.4141652876712","565.1090741420766","745.7510053013699","994.7895620684932","1351.413114712329","1493.7927649690846","1793.4492268356164","1847.175994958904","1864.2233663284383","2000.2435007182405","2140.122584711959","2233.016449887055","2316.8178477748356","2337.826915167584","2529.3777927902465","2565.848831490329"
"INTL.80-2-WORL-TBPD.A","        Fuel ethanol (Mb/d)","64.6","78.1","116","164.1","228.2","245.1","228","251.3","257.4","261.3","235.4","258.2","248","252.5","267.5","289.2","291.6","324.4","312.4","304.5","285.24968152054794","265.3356809180328","314.14094671232874","359.28098047945207","446.23331049315067","499.6204184043716","629.4203642054795","815.7666305616439","1108.5917092328768","1187.4216913352047","1427.6023796438355","1408.782570369863","1408.3512605887122","1499.228347439552","1573.0175550544245","1703.1883701508905","1701.3151617586302","1692.3191296906473","1801.7026316461918","1865.8247189168492"
"INTL.81-2-WORL-TBPD.A","        Biomass-based diesel (Mb/d)","","","","","","","","","","","","","","","","","","","","","14.41","17.517975409836065","21.70722191780822","27.541260273972604","38.18085479452055","65.48865573770492","116.33064109589041","179.02293150684932","242.82140547945207","306.3710736338798","365.8468471917808","438.3934245890411","455.872105739726","501.01515327868856","567.1050296575343","529.8280797361643","615.5026860162055","645.5077854769369","727.6751611440548","700.0241125734794"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-2-AFG-TBPD.A","    Consumption (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-2-AFG-TBPD.A","        Fuel ethanol (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-AFG-TBPD.A","        Biomass-based diesel (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-2-ALB-TBPD.A","    Consumption (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.579799","0.651663","0.555773","1.78","0","0"
"INTL.80-2-ALB-TBPD.A","        Fuel ethanol (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-ALB-TBPD.A","        Biomass-based diesel (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.579799","0.651663","0.555773","w","NA","NA"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-2-DZA-TBPD.A","    Consumption (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-2-DZA-TBPD.A","        Fuel ethanol (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-DZA-TBPD.A","        Biomass-based diesel (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-2-ASM-TBPD.A","    Consumption (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-2-ASM-TBPD.A","        Fuel ethanol (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-ASM-TBPD.A","        Biomass-based diesel (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
