Report generated on: 02-25-2022 09:56:35
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-WORL-BKWH.A","    World","7323.42260299932","7410.074165429748","7568.595396731633","7870.708491450663","8360.676108956985","8658.10586214368","8884.38870723474","9274.493026439255","9693.889107593855","10127.842525485574","10413.96807687267","10619.689242592","10684.15984806","10891.824197035","11143.517382204","11509.716139269","11840.682343622","12155.208842191","12462.647509182","12727.717439346","13281.796879714","13540.013664467195","13984.336036697","14507.241339474333","15172.207660096785","15774.933305421","16458.796765684","17237.4741491722","17493.871658309","17444.054790722","18705.847393299","19396.847181612","19808.63603445126","20469.1936463298","20872.71574414691","21288.89586429029","21871.90196355566","22468.905345887","23376.453864935","23844.865824939","NA"
"INTL.2-2-AFG-BKWH.A","        Afghanistan","0.87606","0.92256","0.88536","0.93","0.94767","0.96162","1.05555","1.13274","1.0044","1.01277","1.02114","1.04477","0.76805","0.72961","0.75017","0.68544","0.62057","0.56407","0.5278","0.52315","0.53431","0.65056","0.73891","0.97327","0.93142","0.97362","1.21041","1.48878","1.4290493","2.027433","2.442759","2.957989","3.88916","4.64119","4.78822","4.87974","5.463","5.78734","6.07288","5.91309","NA"
"INTL.2-2-ALB-BKWH.A","        Albania","2.974","2.987","2.981","2.975","2.977","3.039","3.027","3.441","3.205","3.431","1.659","1.715","1.443","1.727","2.017","2.152","2.79","2.084","2.2","3.482","3.75836","3.54878","4.54556","4.11058","4.0516","3.7388","2.99142","3.69368","4.1251","4.35187","3.39577","5.44294","4.65865","5.90741","4.96176","5.04005","5.67858","6.11975","6.43948","6.52798","NA"
"INTL.2-2-DZA-BKWH.A","        Algeria","5.915","6.713","7.733","8.207","8.959","9.686","10.343","11.119","11.954","12.19","12.734","13.034","14.035","14.039","14.365","14.474","15.172","15.365","16.905","18.492","19.71552","20.64764","21.62354","23.61164","24.42506","27.5164","26.91052","28.3348","30.49982","28.315","33.8405","38.13478","42.8676","45.2015","49.20682","53.45544","55.82304","60.28346","62.11403","66.646","NA"
"INTL.2-2-ASM-BKWH.A","        American Samoa","0.0651","0.06231","0.06231","0.06603","0.06417","0.07719","0.06975","0.07533","0.08463","0.0837","0.08742","0.09486","0.09486","0.10695","0.11346","0.11997","0.12462","0.13113","0.13671","0.14136","0.14787","0.14973","0.15624","0.16461","0.16461","0.16554","0.16833","0.17112","0.17391","0.16554","0.14787","0.14415","0.14601","0.14508","0.14508","0.15159","0.1581","0.15531","0.151","0.151","NA"
"INTL.2-2-AGO-BKWH.A","        Angola","0.736","0.737","0.815","0.832","0.86","0.826","0.886","0.894","0.893","0.899","0.958","0.899","1.013","1.062","1.071","1.074","1.085","1.216","1.328","1.106","1.19302","1.35274","1.45868","1.64976","1.59608","2.06798","2.85054","2.7178","3.64768","4.13154","4.69024","4.88636","5.33508","7.05006","8.14866","8.23114","9.036511","9.46904","10.2386","11.815","NA"
"INTL.2-2-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00186","0.00186","0.00186","0.00186","0.00372","0.00372","0.00372","0.000465","0.000465","0.000465","0.00093","0.00093","0","0","0","NA"
"INTL.2-2-ATG-BKWH.A","        Antigua and Barbuda","0.05208","0.05487","0.05766","0.06324","0.06603","0.06696","0.07533","0.07905","0.07998","0.08184","0.08277","0.08277","0.08277","0.08277","0.08463","0.08556","0.08556","0.08649","0.08835","0.08835","0.13113","0.14973","0.1674","0.18414","0.19344","0.21204","0.22599","0.24459","0.25203","0.28644","0.296856","0.296205","0.288765","0.288858","0.294438","0.30258015","0.30551616","0.30610206","0.283073","0.278","NA"
"INTL.2-2-ARG-BKWH.A","        Argentina","36.845","35.594","36.003","35.484","37.739","37.373","39.01","42.152","42.22","39.924","37.105","39.655","45.292","48.407","49.934","54.938","57.928","62.78","67.908","70.43","73.22606","75.3954","72.47154","79.1119","83.65271","88.60102","99.04709","100.1531","103.69982","104.3041","111.17157","113.58529","117.71058","117.67703","123.42653","128.65242","128.16484","125.48834","125.09309","122.08889","121.76394"
"INTL.2-2-ARM-BKWH.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","6.358","3.724","3.273","2.858","3.486","4.281","3.671","3.88","3.69148","3.6946","3.44126","3.69574","4.19614","4.16382","4.43884","4.776465","4.55743","4.48976","4.63072","4.9886","5.04306","5.19162","5.29666","5.32994","5.29114","5.57268","5.35326","5.75847","NA"
"INTL.2-2-ABW-BKWH.A","        Aruba","--","--","--","--","--","--","0.25482","0.27807","0.28644","0.31062","0.29574","0.29667","0.29853","0.46407","0.4929","0.53847","0.56079","0.59055","0.63798","0.64542","0.6789","0.7068","0.72075","0.73563","0.75609","0.79515","0.79422","0.8184","0.79887","0.83607","0.827793","0.820725","0.80724","0.83235","0.831052371","0.85719216","0.84584616","0.86335216","0.83804216","0.90944216","NA"
"INTL.2-2-AUS-BKWH.A","        Australia","78.227","81.717","88.356","89.591","95.546","99.889","106.969","111.642","120.921","128.119","135.404","137.996","140.1334","143.988","147.502","152.334","156.54566","161.721","172.088","176.177","182.96956","193.37082","199.56076","200.58156","205.16246","200.1373","204.13084","214.77298","214.63906","220.032","222.36042","223.43702","222.72246","222.68834","223.48564","225.12774","226.5381","231.32216","234.25804","237.388272","NA"
"INTL.2-2-AUT-BKWH.A","        Austria","33.974","33.937","34.472","35.164","37.034","38.56","39.02","30.376","41.956","43.323","44.305","47.242","47.107","46.183","46.871","47.945","49.725","50.322","51.118","52.336","53.33642","55.44718","55.9188","57.81084","58.96108","60.53582","62.95548","63.31914","63.38822","60.781","62.32826","62.62372","63.24212","63.85828","63.10738","64.14582","64.97962","66.016206","66.31786","68.499332","69.9052"
"INTL.2-2-AZE-BKWH.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","15.248","14.334","14.594","13.724","13.614","14.12","14.76","15.118","15.4061","15.56992","16.13262","18.30104","19.08472","17.26646","19.43242","16.98402","16.69734","13.48152","13.56822","14.55992","17.79298","18.38626","19.59206","20.27446","20.23528","19.53536","20.28678","21.02663","NA"
"INTL.2-2-BHR-BKWH.A","        Bahrain","1.44522","1.58007","1.74933","1.93719","2.178","2.553","2.807","2.829","3.065","3.08","3.039","3.128","3.466","3.788","4.113","4.273","4.499","4.653","4.967","5.206","12.466","13.161","13.795","14.452","14.78","17.794","19.346","20.024","19.797","19.93","20.95556","21.43722","21.7183","23.02884","24.55707","26.10221","26.10565","26.10375","27.44749","31.03825","NA"
"INTL.2-2-BGD-BKWH.A","        Bangladesh","1.834","2.231","2.565","2.676","2.989","3.135","3.58","3.765","4.121","5.019","5.022","5.49","6.65","7.513","8.237","8.616","8.989","9.38802","10.16605","11.3391","12.456","13.98606","15.22806","16.31784","21.23052","23.4765","27.469","27.608","28.037","30.857","34.168931","37.135816","39.945069","43.010294","48.043271","51.862462","61.477877","65.864837","70.307217","76.849877","NA"
"INTL.2-2-BRB-BKWH.A","        Barbados","0.261","0.265","0.277","0.264","0.305","0.312","0.322","0.364","0.385","0.376","0.396","0.46","0.477","0.474","0.498","0.529","0.564","0.599","0.615","0.662","0.703","0.735","0.771","0.81","0.836","0.891","0.9134","0.9379","0.968","0.978","0.917","0.921","1.021","0.916","0.921","0.962","0.991526","0.986526","0.990296","1","NA"
"INTL.2-2-BLR-BKWH.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","38.66","33.326","29.627","26.951","27.091","28.506","26.322","28.436","28.36256","24.70802","26.35038","26.59406","29.01344","29.5093","30.42908","30.5467","31.03038","29.46572","31.73564","32.44988","33.15724","32.66146","32.79818","31.7617","31.7213","32.20026","32.86596","32.6655","NA"
"INTL.2-2-BEL-BKWH.A","        Belgium","45.18","45.201","44.89","46.045","48.247","50.037","51.298","53.794","56.049","57.832","59.032","61.818","63.968","64.663","67.735","69.71","71.19","73.00595","74.89311","75.298","78.53076","79.28752","80.098","81.41356","83.23096","82.76408","85.2971","85.12744","85.09678","78.94878","84.91914","82.6955","83.18436","83.36655","81.58778","82.22624","82.53339","83.34236","83.62556","83.309095","82.19"
"INTL.2-2-BLZ-BKWH.A","        Belize","0.08463","0.08556","0.08649","0.08835","0.09579","0.09951","0.1023","0.10695","0.11625","0.11997","0.13206","0.14694","0.15996","0.17484","0.16275","0.16926","0.17298","0.186","0.178746","0.187116","0.1685439","0.271971","0.296964","0.324273","0.353814","0.370065","0.380208","0.402233","0.422129","0.41322333","0.5968744","0.54184408","0.6471872","0.616269","0.6694202","0.7246443","0.7048301","0.9055552","0.9417249","0.992305","NA"
"INTL.2-2-BEN-BKWH.A","        Benin","0.101","0.115","0.155","0.155","0.137","0.142","0.14","0.135","0.131","0.15","0.165","0.176","0.229","0.221","0.252","0.242","0.2787","0.2797","0.2707","0.3147","0.39008","0.39516","0.39834","0.48832","0.5402","0.58264","0.61","0.66198","0.73844","0.77938","0.90816","0.90494","0.93412","0.93748","0.93466","1.08256","1.06114","1.125921","1.188064","0.9298","0.52418"
"INTL.2-2-BMU-BKWH.A","        Bermuda","0.28923","0.2976","0.30783","0.32085","0.33294","0.3441","0.35991","0.38037","0.40083","0.40734","0.42873","0.44826","0.45198","0.45291","0.46035","0.4557","0.45942","0.46314","0.4743","0.5115","0.55335","0.598624090909093","0.59799","0.58032","0.58326252","0.60676548","0.61975293","0.6282615","0.63705","0.6451596","0.63836223","0.62682","0.61194","0.59241","0.5766","0.58962","0.58125","0.5883","0.5645","0.533434","NA"
"INTL.2-2-BTN-BKWH.A","        Bhutan","0.01988","0.0246","0.02746","0.02446","0.0276","0.03123","0.03772","0.0431","0.03876","0.04469","0.04764","0.05673","0.05065","0.07565","0.09087","0.12488","0.24529","0.38853","0.31412","0.29419","0.28949","0.402623","0.516","0.555","0.597","0.808","1.863","0.995","0.814","1.421","1.7895","1.7207","1.825662","2.005662","2.081672","2.070682","2.138672","1.977932","2.385702","4.31489","NA"
"INTL.2-2-BOL-BKWH.A","        Bolivia","1.426","1.5","1.527","1.504","1.365","1.331","1.283","1.318","1.628","1.717","1.813","2.006","1.983","2.014","2.366","2.542","2.721","2.923","3.093","3.314","3.39614","3.37718","3.48538","3.60254","3.76486","4.194","4.539281","4.922107","4.913","5.185","5.66444","6.08194","6.42824","6.8909","7.26646","7.811","7.9138","8.12496","8.31972","8.75669","NA"
"INTL.2-2-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","5.324","3.157","3.554","3.205","3.916","4.373","5.484","5.105","7.3399","7.38858","7.48098","7.8861","8.27506","8.54176","8.47288","8.45802","10.56564","10.17526","11.06712","11.54542","11.90898","11.6241","11.3305","11.44032","11.87153","12.20166","12.25328","11.65745","NA"
"INTL.2-2-BWA-BKWH.A","        Botswana","0.41199","0.47686","0.53677","0.56362","0.59985","0.64708","0.74034","0.85878","0.816","0.80621","0.87636","0.92347","1.09184","1.11411","1.28092","1.31371","1.39087","1.5571","1.571","1.749","1.71218","2.0224","2.19824","2.36456","2.47878","2.57598","2.663","2.754","2.953","2.829","3.15208","3.15432","3.209","3.34768","3.60528","3.73004","3.63884","3.5538","3.30076","3.5159","NA"
"INTL.2-2-BRA-BKWH.A","        Brazil","121.7838","124.1572","131.69046","145.44532","161.9187","171.04538","186.48074","190.47542","200.76276","208.72774","212.64456","222.44502","228.10914","239.094122","247.990752","261.50987","277.74329","290.86791","302.90687","310.61948","321.99852","304.48298","318.97716","336.86862","353.29366","367.88328","382.53928","404.16758","419.80854","418.53774","455.64932","471.4818","488.78256","504.70972","518.34088","510.03076","510.44062","516.21791","528.09132","533.85178","540.99734"
"INTL.2-2-VGB-BKWH.A","        British Virgin Islands","0.02046","0.02232","0.02325","0.02232","0.02511","0.02697","0.03069","0.03441","0.0372","0.03813","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.0372","0.0354285714285713","0.03534","0.03906","0.03906","0.08649","0.093","0.09672","0.10788","0.1395","0.17215323","0.16866573","0.17331573","0.17331573","0.17368373","0.18369894","0.18550894","0.121208","0.114858","0.116298","NA"
"INTL.2-2-BRN-BKWH.A","        Brunei","0.424","0.459","0.51","0.653","0.749","0.819","0.867","0.892","0.998","1.038","1.11","1.178","1.237","1.39","1.515","1.779","1.953","2.234","2.324","2.26","2.36142","2.11726","2.19894","2.60754","2.94616","2.89416","2.92412","3.0263","3.05362","3.17728","3.19648","3.23262","3.45132","3.729","3.94676","3.67912","3.77086","3.4267","3.55548","4.14014","NA"
