Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity exports (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-4-WORL-BKWH.A","    World","150.131648","166.209123","164.416463","193.988293","202.071293","216.120917","216.375763221","249.2022405","258.257446451","278.32669034","292.05161392","260.694002018","400.795116786","400.672813762","401.636180282","400.843616693","430.220828565","423.948140419","416.397493501","452.069076027","499.784170702","496.985264222","521.347495653","553.499272682","554.217989754","617.592560486","616.825269125","629.220845817","620.278836251","585.405067083","591.261307456","650.855679387","676.72613791374","666.8899463232","701.52187213409","732.760918599","720.135519849","735.847429318","722.713296882","722.507267172","NA"
"INTL.2-4-AFG-BKWH.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-ALB-BKWH.A","        Albania","0.5","0.525","0.55","0.575","0.6","0.583","0.63","0.8","0.735","0.631","0.118","1.298","0.56","0.141","0.155","0.074","0.38","0.839","0.69","0.755","0.222","0.069","0.058","0.326","0","0","0","0","0","0.487","2.935","0","0","0","0.183","0.956","1.8686","0","1.764","0.77048","0.963"
"INTL.2-4-DZA-BKWH.A","        Algeria","0.061","0.086","0.116","0.127","0.096","0.158","0.162","0.17","0.182","0.26","0.303","0.796","1.061","1.324","1.191","0.491","0.422","0.313","0.262","0.21","0.319","0.196","0.259","0.212","0.197","0.275","0.3","0.273","0.323","0.362","0.803","0.799","0.985","0.384","0.877","0.641","0.507","0.88","0.597","0.673","NA"
"INTL.2-4-ASM-BKWH.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-AGO-BKWH.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-ATG-BKWH.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-ARG-BKWH.A","        Argentina","0.002","0.003","0.006","0.006","0.005","0.006","0.006","0.007","0.007","0.007","0.054","0.01","0.01","0.023","0.011","0.22","0.3","0.277","0","1.08","6.023","5.662","2.856","2.543","4.144","4.14","5.06","2.676","2.975","2.445","1.701","1.263","0.506","0.247","0.166","0.055","0.329","0.069","0.28","0.261","3.089"
"INTL.2-4-ARM-BKWH.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0.052","0.131","0","0","0","0.124","0.387","0.704","0.815","0.701","0.66","0.583","1.012","1.1511","0.7545","0.4513","0.36","0.336","1.061","1.383","1.696","1.313","1.314","1.424","1.229","1.44","1.627","1.251","1.333"
"INTL.2-4-ABW-BKWH.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-AUS-BKWH.A","        Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-AUT-BKWH.A","        Austria","7.136","7.441","7.464","7.893","6.725","7.77","7.426","9.606","8.283","8.246","7.298","7.738","8.621","8.806","9","9.76","8.476","9.775","10.467","13.507","15.192","14.252","14.676","13.389","13.548","17.732","14.407","15.511","14.934","18.762","17.472","16.777","20.627","17.689","17.437","19.328","19.207","22.817","19.129","22.918265","22.327"
"INTL.2-4-AZE-BKWH.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","1.396","0.25","0.25","0.5","0.58","0.284","1.002","0.886","0.378","0.966","0.925","0.871","1.008","0.88","0.879","0.786","0.812","0.38","0.462","0.805","0.68","0.495","0.489","0.265","1.096","1.283","1.445","1.491","1.151"
"INTL.2-4-BHR-BKWH.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.275","0","0.019","0.107","0.19","0.053","0.237","0.213","0.293","0.513","0.447","0.447","NA"
"INTL.2-4-BGD-BKWH.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BRB-BKWH.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BLR-BKWH.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","3.405","3.605","3.85","2.907","2.601","2.688","2.073","3.029","2.764","2.718","3.513","3.987","4.723","5.055","5.789","5.062","5.245","3.933","5.067","3.704","2.797","3.012","4.488","3.482","3.298","3.407","4.248","5.398","4.777"
"INTL.2-4-BEL-BKWH.A","        Belgium","8.92","5.264","4.318","4.356","4.143","5.543","5.521","7.778","7.833","7.607","8.509","6.845","5.721","5.359","5.07","5.326","5.446","6.705","6.435","8.207","7.319","6.712","9.07","8.254","6.79","8.024","8.696","9.037","6.561","11.321","11.844","10.652","6.912","7.603","4.188","2.715","8.465","8.168","4.308","14.588905","14.053"
"INTL.2-4-BLZ-BKWH.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BEN-BKWH.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002"
"INTL.2-4-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-BTN-BKWH.A","        Bhutan","0","0","0","0","0","0","0.25","1.05","1.39","1.385","1.395","1.4","1.445","1.42","1.455","1.475","1.482","1.33","1.36","1.385","1.398","1.4","1.561","1.845","1.624","1.714","2.526","5.373","5.922","5.405","5.58","5.273","4.896","5.557","5.147","5.721","5.763","5.701","4.581","4.6","NA"
