Report generated on: 02-25-2022 09:56:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity imports (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-3-WORL-BKWH.A","    World","145.5369836319204","166.4995722649243","164.551633863045","194.0380381056035","202.0274323758947","213.4741797915998","216.1455617333313","248.927882414645","258.5563069233551","280.070342024074","292.447890222","260.686141313","400.464478578","403.170039749","398.383992624","397.779651363","427.4371344","420.317857695","420.737345069","450.818407058","502.925536302","499.596619649","533.33833193","554.54947416","554.239022738","614.721495121","619.505063594","633.381735136","621.266821901","592.4458981","592.844901506","653.450057831","684.583504638","685.533192549","717.79650346","756.33416061929","731.54295310466","736.849308046","734.471017245","723.712335794","NA"
"INTL.2-3-AFG-BKWH.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0.125","0.131","0.1","0.128","0.12","0.11","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.105","0.432","0.609","0.752","1.155","1.572","2.246","3.071","3.615","3.71","3.779","4.333","4.611","4.986","4.912","NA"
"INTL.2-3-ALB-BKWH.A","        Albania","0","0","0","0","0","0","0.005","0.167","0.183","0.2","0.323","0.65","0.104","0.082","0.157","0.15","0.2","0.711","1.069","1.113","1.3","1.8","2.2","1.242","0.477","0.371","0.611","2.838","2.434","1.965","1.005","3.475","3.23","2.323","3.25","2.355","1.827","2.915","0.85","3.17652","3.239"
"INTL.2-3-DZA-BKWH.A","        Algeria","0.07","0.103","0.09","0.109","0.167","0.121","0.145","0.12","0.191","0.201","0.205","0.135","0.125","0.125","0.067","0.215","0.285","0.312","0.3","0.15","0.25","0.15","0.237","0.223","0.211","0.359","0.382","0.279","0.274","0.33","0.736","0.657","0.936","0.295","0.686","0.61","0.257","0.537","0.506","0.531","NA"
"INTL.2-3-ASM-BKWH.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-AGO-BKWH.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-ATG-BKWH.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-ARG-BKWH.A","        Argentina","0.024","0.02","0.051","0","0","0","0","0.18","0.311","0.55","0.89","1.097","3.26","2","1.2","2.35","3.7","5.265","7.9","6.5","7.245","7.42","8.7","7.578","7.612","8.017","7.418","10.275","8.458","8.601","10.301","10.929","8.118","8.043","10.028","9.018","9.851","10.531","9.842","10.948","7.802"
