Report generated on: 02-25-2022 09:57:22
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity net imports (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-23-WORL-BKWH.A","    World","-4.594664368079601","0.2904492649243","0.135170863045","0.0497451056035","-0.0438606241053","-2.6467372084002","-0.2302014876687","-0.274358085355","0.2988604723551","1.743651684074","0.396276302","-0.007860705","-0.330638208","2.497225987","-3.252187658","-3.06396533","-2.783694165","-3.630282724","4.339851568","-1.250668969","3.1413656","2.611355427","11.990836277","1.050201478","0.021032984","-2.871065365","2.679794469","4.160889319","0.98798565","7.040831017","1.58359405","2.594378444","7.85736672426","18.6432462258","16.27463132591","23.57324202029","11.40743325566","1.001878728","11.757720363","1.205068622","NA"
"INTL.2-23-AFG-BKWH.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0.125","0.131","0.1","0.128","0.12","0.11","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.105","0.432","0.609","0.752","1.155","1.572","2.246","3.071","3.615","3.71","3.779","4.333","4.611","4.986","4.912","NA"
"INTL.2-23-ALB-BKWH.A","        Albania","-0.5","-0.525","-0.55","-0.575","-0.6","-0.583","-0.625","-0.633","-0.552","-0.431","0.205","-0.648","-0.456","-0.059","0.002","0.076","-0.18","-0.128","0.379","0.358","1.078","1.731","2.142","0.916","0.477","0.371","0.611","2.838","2.434","1.478","-1.93","3.475","3.23","2.323","3.067","1.399","-0.0416","2.915","-0.914","2.40604","2.276"
"INTL.2-23-DZA-BKWH.A","        Algeria","0.009","0.017","-0.026","-0.018","0.071","-0.037","-0.017","-0.05","0.009","-0.059","-0.098","-0.661","-0.936","-1.199","-1.124","-0.276","-0.137","-0.001","0.038","-0.06","-0.069","-0.046","-0.022","0.011","0.014","0.084","0.082","0.006","-0.049","-0.032","-0.067","-0.142","-0.049","-0.089","-0.191","-0.031","-0.25","-0.343","-0.091","-0.142","NA"
"INTL.2-23-ASM-BKWH.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-AGO-BKWH.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-ATG-BKWH.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-ARG-BKWH.A","        Argentina","0.022","0.017","0.045","-0.006","-0.005","-0.006","-0.006","0.173","0.304","0.543","0.836","1.087","3.25","1.977","1.189","2.13","3.4","4.988","7.9","5.42","1.222","1.758","5.844","5.035","3.468","3.877","2.358","7.599","5.483","6.156","8.6","9.666","7.612","7.796","9.862","8.963","9.522","10.462","9.562","10.687","4.713"
