Report generated on: 02-24-2022 17:30:36
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-WORL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8494","8723","8619.9","8711.4","9123.8","9410","9577.4","NA","NA"
"INTL.6899-2-WORL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6728.1","6899.6","6800.2","6731.4","6964.9","7141","7305.3","NA","NA"
"INTL.8499-2-WORL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1759.5","1827","1820.1","1975.3","2158.5","2271.3","2273.3","NA","NA"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AFG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-2-AFG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-2-AFG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.9","0.00809959452054794","1","0.9","1.2","1.3","1.5","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.6899-2-ALB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.9","0.00809959452054794","1","0.9","1.2","1.3","1.5","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.8499-2-ALB-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-DZA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","43","38","40","39","40","45","44","45","44","44","40","51","50","55","51","57","54","56","56","62","54","56","57","53","63","63","62","NA","NA"
"INTL.6899-2-DZA-TBPD.A","            LPG (Mb/d)","22.28930253","25","26","31","36","34","43","38","40","39","34","39","39","41","38","37","34","44","47","50","45","52","49","53","56","59","51","53","54","52","63","63","61","NA","NA"
"INTL.8499-2-DZA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","6.6","6","4.7","4.5","6.4","6.6","5.8","7.5","3.3","5.2","5.1","5.1","5","3.4","0.7","2.9","2.7","2.9","2.4","1.7","0.7","0","1","NA","NA"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ASM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.6899-2-ASM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.8499-2-ASM-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AGO-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","1.3","1.9","1.8","1.8","2.2","2.5","2.7","2.6","2.8","3.2","5.4","4.6","5.3","4.7","4.8","4.8","NA","NA"
"INTL.6899-2-AGO-TBPD.A","            LPG (Mb/d)","0.571877254","0.7","0.5","0.6","0.8","0.8","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","1.3","1.9","1.8","1.8","2.2","2.5","2.7","2.6","2.8","3.2","5.4","4.6","5.3","4.7","4.8","4.8","NA","NA"
"INTL.8499-2-AGO-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
