Report generated on: 02-24-2022 17:30:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-WORL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2254.9","2214.8","2265.1","2231.9","2266.2","2374.1","2491.9","NA","NA"
"INTL.6899-3-WORL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2232.8","2194.2","2245","2213.8","2247.3","2355.1","2473.3","NA","NA"
"INTL.8499-3-WORL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21.6","20.7","20.3","17","18.5","19","18.6","NA","NA"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AFG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-AFG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-AFG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8","1.2","1.3","1.4","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.6899-3-ALB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8","1.2","1.3","1.4","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.8499-3-ALB-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
