Report generated on: 02-24-2022 17:30:18
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-WORL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8519.4","8594.9","8710.1","8897.7","9424.4","9750.4","10054.7","NA","NA"
"INTL.6798-1-WORL-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3159.6","3078.8","3094.5","3038.5","3117.3","3058.3","3059.3","NA","NA"
"INTL.6799-1-WORL-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3665.1","3760.2","3809.9","3924.5","4187.2","4452.3","4692.1","NA","NA"
"INTL.8399-1-WORL-TBPD.A","            Ethane (non refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1690.5","1759.3","1806.8","1933.2","2125.6","2241.2","2307.1","NA","NA"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-AFG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6798-1-AFG-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
