Report generated on: 02-24-2022 16:06:20
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-1-WORL-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","61094.8","61760.2","62661.7","64070.4","65552.1","65153.1","65841.7","66393.7","67183.7506849315","68300.7","69661.8606557377","72056.19589041098","72388.06815945207","72609.41884931506","74359.04282621627","75386.10451797146","75818.5169185011","77763.13624411746","80468.65993718662","81681.3235331956","82606.0039737732","82625.61963577202","83460.66878279584","82670.00242347937","84630.53404700311","84842.86449527537","85340.68402678342","86210.83927452263","87752.11740774858","","",""
"INTL.62-1-WORL-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","15617.2","16422.7","16884.3","16762.9","17258.6","17276.9","17388.4","17997.3","17935.6506849315","18384.893150684926","18821.111475409838","19258.117808219184","19568.399999999994","19529.227397260267","19403.531633648312","19762.781154319495","20156.288539125864","20475.0708775873","21011.698006039354","21206.143251677386","21202.067448589612","21298.488850815535","21487.20912707925","22145.515768353755","22229.952121120183","22309.19545423262","22416.273438841912","22956.26077152804","23799.57764254226","","",""
"INTL.63-1-WORL-TBPD.A","            Jet fuel (Mb/d)","","","","","","","2878.6","3414.9","3736","3913","4060.9","3863.2","3772.2","3740.1","3970.4557687671195","4146.4395435616425","4366.221264153005","4375.936125890413","4435.689132465756","4492.660904109588","4699.6160376103335","4583.127207460101","4574.47366304854","4563.698508813646","4867.403043136973","5017.811403776343","5091.705376676832","5201.689311566985","5299.778696905521","5104.574829851643","5241.464780006377","5393.889265595589","5448.051651384833","5584.404423332988","5924.171137868183","","",""
"INTL.64-1-WORL-TBPD.A","            Kerosene (Mb/d)","","","","","","","2306.1","1850","1732.4","1653.9","1734","1667.3","1802.7","1872.6","1812.411654246575","1857.1474879452048","1911.2506876502737","2019.3776053424658","1834.4585676712331","1879.3822739726031","2019.4605333883235","1970.3331023379058","1888.878684551578","1998.6335591439304","1919.9322053819974","1935.5438413902814","1822.0087679776393","1664.6358102791419","1586.6975682886555","1549.093334026535","1556.170124221935","1518.386616225381","1490.4595494157477","1515.463352250883","1286.3391234003607","","",""
"INTL.65-1-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","15364.9","15381.5","16020.6","16514.7","16699","16976.2","17202","17985.5","18106.19178082192","18550.56164383562","18959.466338797803","19521.106029452058","19705.45272479453","20064.3192441863","20713.28867529302","21223.018772240343","21239.51666332323","22037.063359609627","22943.093200595184","23699.662414561575","23951.435486572584","24433.055232135048","25339.097771500234","24910.543217762457","25340.99758990558","25998.84828148115","26539.17312154649","26801.40336256378","27253.698082564882","","",""
"INTL.66-1-WORL-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","13293.3","13069.3","13194.5","13660.3","13765.9","13405","13002.5","12427.8","12221.772602739726","11908.406970684931","11820.661877431696","11992.636081506847","11850.92513328767","11402.931317194518","11309.213662090879","11283.884820826534","11016.243711539273","11105.435677246218","11264.28301889932","11216.605802975037","11183.835319271951","10806.417478523199","10694.739721881173","9952.64750468866","9922.613886469","9554.746588542652","9373.637078508284","8992.802979958888","8785.539397527844","","",""
"INTL.67-1-WORL-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","2171.6","2009.9","2110.4","2167.5","2170","2358.6","2633.7","2575.5","2764.462677534246","2991.2065200000006","2997.953615300546","2982.6322679452046","3077.8038379452055","3181.8002556547945","3087.589635772499","3249.1250880818848","3240.598987520301","3339.0558931803894","3429.692972521103","3437.5645569753037","3618.3502330222577","3591.0135549217625","3596.6210568781653","3552.945254845359","3670.7093436986156","3697.536599033352","3724.475077919151","3898.511248825415","3967.9928490412813","","",""
"INTL.68-1-WORL-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","9457.6","9610.9","8990.8","9405.4","9879.3","9608.1","10043.8","9812.3","10379.176135890404","10455.499833287666","10786.310196994535","11907.2777820548","11919.915723287675","12060.182484515064","13126.342648412914","13313.8343727052","13702.516669392311","14244.178368536339","15032.557490612682","15167.99226183967","15736.601341662315","15630.319397530342","15456.524840262837","15454.682513950956","16663.613872814298","16370.261690164618","16348.614109166994","16461.993136062643","16734.79917480377","","",""
