,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
ISO_A3,Country or region,Note,"World Bank 
Region","Total population, 2018","Total area, 2018",Evaluated area,"Level 1 area 
(% of evaluated area)","Human development 
Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity
(% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity 
Tariffs for SMEs 
(US cent/kWh), 2019"
ABW,Aruba (Neth.),,Other,"105,845",180,180,85%,#N/A,"25,630",6.11,4.96,0.09,1.18,#N/A,6.1,57.6,92.5,#N/A,#N/A,#N/A
AFG,Afghanistan,,SOA,"37,172,386","652,860","652,860",59%,0.50,521,5.49,5.02,0.09,1.67,#N/A,22,0.6,79.0,#N/A,0,17.6
AGO,Angola,,AFR,"30,809,762","1,246,700","1,246,700",75%,0.58,"3,432",5.75,4.66,0.09,1.32,0.003,13.4,0.4,16.0,312,3,4.6
ALB,Albania,,ECA,"2,866,376","27,400","27,400",61%,0.78,"5,254",4.20,4.04,0.11,2.33,0.21,1,0.3,100.0,2309,3,8.7
AND,Andorra,,Other,"77,006",470,470,11%,0.86,"42,030",4.05,4.20,0.10,2.15,#N/A,0,0.0,100.0,#N/A,#N/A,#N/A
ARE,United Arab Emirates,,MENA,"9,630,959","71,020","71,020",59%,0.86,"43,005",6.05,5.00,0.08,1.18,0.732,493.5,51.2,100.0,11088,8,11
ARG,Argentina,up to parallel 45°S,LCR,"44,494,502","2,736,690","2,475,393",66%,0.82,"11,653",5.12,4.60,0.11,1.62,0.034,191.3,4.3,100.0,3075,5,15.5
ARM,Armenia,,ECA,"2,951,776","28,470","28,470",69%,0.76,"4,212",4.22,4.11,0.10,2.41,0.169,17.3,5.9,100.0,1962,7,7.6
ASM,American Samoa (U.S.),,Other,"55,465",200,200,27%,#N/A,"11,399",4.92,3.98,0.11,1.30,#N/A,4.2,75.7,#N/A,#N/A,#N/A,#N/A
ATG,Antigua and Barbuda,,LCR,"96,286",440,440,91%,0.78,"16,864",5.75,4.77,0.09,1.19,#N/A,7.9,82.0,96.5,#N/A,4,43.7
