,,,,"Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Yearly,January,February,March,April,May,June,July,August,September,October,November,December
ABW,Aruba (Neth.),,Other,4.96,4.88,5.31,5.38,5.11,4.86,4.81,4.92,5.22,5.20,4.80,4.57,4.56
AFG,Afghanistan,,SOA,5.02,3.76,4.15,4.86,5.19,5.48,5.70,5.67,5.75,5.90,5.45,4.34,3.90
AGO,Angola,,AFR,4.66,4.21,4.31,4.46,4.79,5.20,5.18,5.13,5.01,4.79,4.49,4.25,4.07
ALB,Albania,,ECA,4.04,2.73,3.22,4.05,4.29,4.80,5.28,5.49,5.27,4.42,3.74,2.80,2.38
AND,Andorra,,Other,4.20,2.87,3.76,4.74,4.73,4.74,5.03,5.22,5.01,4.65,4.05,2.98,2.58
ARE,United Arab Emirates,,MENA,5.00,4.76,5.11,5.22,5.17,5.17,4.99,4.64,4.88,5.26,5.33,4.92,4.63
ARG,Argentina,up to parallel 45°S,LCR,4.60,5.36,5.16,4.90,4.25,3.63,3.45,3.76,4.35,4.75,5.00,5.30,5.29
ARM,Armenia,,ECA,4.11,2.64,3.51,3.92,4.16,4.65,5.29,5.31,5.30,5.09,3.98,3.12,2.29
ASM,American Samoa (U.S.),,Other,3.98,4.07,4.26,4.41,4.05,3.61,3.40,3.44,3.89,4.16,4.23,4.18,4.12
ATG,Antigua and Barbuda,,LCR,4.77,4.69,5.02,5.23,5.02,4.73,4.63,4.69,4.91,4.82,4.65,4.46,4.40
AUS,Australia,,Other,4.71,4.91,4.91,4.86,4.70,4.24,3.88,4.14,4.71,5.09,5.18,4.95,4.91
AUT,Austria,,Other,3.26,1.76,2.71,3.51,4.17,4.34,4.37,4.39,4.27,3.56,2.79,1.72,1.47
AZE,Azerbaijan,,ECA,3.82,2.58,3.11,3.70,4.03,4.63,5.06,4.94,4.82,4.24,3.37,2.84,2.45
BDI,Burundi,,AFR,4.17,3.79,4.09,4.16,4.01,4.05,4.48,4.80,4.69,4.53,4.12,3.66,3.67
BEL,Belgium,,Other,2.92,1.33,2.03,3.04,3.91,4.13,4.26,4.14,3.88,3.31,2.43,1.42,1.07
BEN,Benin,,AFR,4.20,4.49,4.52,4.31,4.25,4.13,3.83,3.55,3.41,3.97,4.50,4.80,4.64
BFA,Burkina Faso,,AFR,4.57,4.97,4.96,4.64,4.47,4.34,4.11,4.06,4.01,4.50,4.84,5.01,4.96
BGD,Bangladesh,,SOA,3.88,3.76,4.43,4.68,4.40,3.88,3.23,3.23,3.42,3.57,4.00,4.22,3.79
BGR,Bulgaria,,ECA,3.70,2.18,2.99,3.68,4.18,4.66,4.93,5.06,4.96,4.17,3.29,2.37,1.93
